beat_index;bar;beat_in_bar;time_s;strength;strength_norm;accent;section;active_line_id;nearest_line_id;nearest_line_offset_ms
150;37;3;65.526712;7.810134;0.3466;light;verse_1;027;027;717
151;37;4;65.967891;15.213167;0.8317;strong;verse_1;027;028;-592
152;38;1;66.432290;8.780109;0.4102;strong;verse_1;027;028;-128
153;38;2;66.873469;2.272018;0.0000;light;verse_1;028;028;313
154;38;3;67.314649;0.008848;0.0000;light;verse_1;028;028;755
155;38;4;67.755828;5.926940;0.2232;light;verse_1;028;029;-752
156;39;1;68.220227;3.902147;0.0905;strong;verse_1;028;029;-288
157;39;2;68.661406;0.934471;0.0000;light;verse_1;029;029;153
158;39;3;69.125805;9.123038;0.4326;light;verse_1;029;029;618
159;39;4;69.543764;4.358342;0.1204;light;verse_1;029;029;1036
160;40;1;69.984943;9.615325;0.4649;strong;verse_1;029;030;-958
161;40;2;70.426122;9.074185;0.4294;light;verse_1;029;030;-517
162;40;3;70.867302;14.279298;0.7705;medium;verse_1;029;030;-76
163;40;4;71.308481;8.912409;0.4188;light;pre_chorus_1;031;031;61
164;41;1;71.749660;14.410101;0.7791;strong;pre_chorus_1;031;031;503
165;41;2;72.214059;4.874095;0.1542;light;pre_chorus_1;031;031;967
166;41;3;72.655238;5.790307;0.2143;light;pre_chorus_1;031;032;-905
167;41;4;73.096417;11.283661;0.5742;medium;pre_chorus_1;031;032;-464
168;42;1;73.537596;9.520698;0.4587;strong;pre_chorus_1;031;032;-22
169;42;2;73.978776;3.425365;0.0593;light;pre_chorus_1;032;032;419
170;42;3;74.419955;8.761912;0.4090;light;pre_chorus_1;032;032;860
171;42;4;74.861134;9.958036;0.4874;medium;pre_chorus_1;032;032;1301
172;43;1;75.325533;9.139082;0.4337;strong;pre_chorus_1;032;033;-1567
173;43;2;75.766712;3.319103;0.0523;light;pre_chorus_1;032;033;-1126
174;43;3;76.207891;4.816673;0.1504;light;pre_chorus_1;032;033;-685
175;43;4;76.649070;7.196737;0.3064;light;pre_chorus_1;032;033;-244
176;44;1;77.090249;8.261759;0.3762;strong;pre_chorus_1;033;033;197
177;44;2;77.531429;6.048998;0.2312;light;pre_chorus_1;033;033;638
178;44;3;77.972608;3.135120;0.0403;light;pre_chorus_1;033;033;1080
